ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,448.75,128,37.78,8204
4096,2048,366.19,128,34.93,16396
8192,4096,270.02,128,31.08,32780
16384,8192,177.21,128,25.64,65548
